nom,genre,prenom,nom_famille,date_naissance,lieu_naissance,circonscription,sycomore_id,wikidata,frwiki
François Fillon,masculin,François,Fillon,1954-03-04T00:00:00Z,Le Mans,deuxième circonscription de Paris,3009,http://www.wikidata.org/entity/Q101410,https://fr.wikipedia.org/wiki/Fran%C3%A7ois%20Fillon
François de Rugy,masculin,François,de Rugy,1973-12-06T00:00:00Z,Nantes,première circonscription de la Loire-Atlantique,17282,http://www.wikidata.org/entity/Q117340,https://fr.wikipedia.org/wiki/Fran%C3%A7ois%20de%20Rugy
Hervé Gaymard,masculin,Hervé,Gaymard,1960-05-31T00:00:00Z,Bourg-Saint-Maurice,deuxième circonscription de la Savoie,3322,http://www.wikidata.org/entity/Q182786,https://fr.wikipedia.org/wiki/Herv%C3%A9%20Gaymard
Aurélie Filippetti,féminin,Aurélie,Filippetti,1973-06-17T00:00:00Z,Villerupt,première circonscription de la Moselle,17302,http://www.wikidata.org/entity/Q198005,https://fr.wikipedia.org/wiki/Aur%C3%A9lie%20Filippetti
Delphine Batho,féminin,Delphine,Batho,1973-03-23T00:00:00Z,Paris,deuxième circonscription des Deux-Sèvres,17264,http://www.wikidata.org/entity/Q291385,https://fr.wikipedia.org/wiki/Delphine%20Batho
Marion Maréchal-Le Pen,féminin,Marion,Maréchal-Le Pen,1989-12-10T00:00:00Z,Saint-Germain-en-Laye,troisième circonscription de Vaucluse,18477,http://www.wikidata.org/entity/Q292458,https://fr.wikipedia.org/wiki/Marion%20Mar%C3%A9chal-Le%20Pen
Jacques Bompard,masculin,Jacques,Bompard,1943-02-24T00:00:00Z,Montpellier,quatrième circonscription de Vaucluse,921,http://www.wikidata.org/entity/Q362223,https://fr.wikipedia.org/wiki/Jacques%20Bompard
Xavier Breton,masculin,Xavier,Breton,1962-11-25T00:00:00Z,Darney,première circonscription de l'Ain,17275,http://www.wikidata.org/entity/Q427080,https://fr.wikipedia.org/wiki/Xavier%20Breton
Christian Bataille,masculin,Christian,Bataille,1946-05-13T00:00:00Z,Rieux-en-Cambrésis,douzième circonscription du Nord,476,http://www.wikidata.org/entity/Q428214,https://fr.wikipedia.org/wiki/Christian%20Bataille
Michèle Delaunay,féminin,Michèle,Delaunay,1947-01-08T00:00:00Z,Clermont-Ferrand,deuxième circonscription de la Gironde,17280,http://www.wikidata.org/entity/Q452139,https://fr.wikipedia.org/wiki/Mich%C3%A8le%20Delaunay
Marie-George Buffet,féminin,Marie-George,Buffet,1949-05-07T00:00:00Z,Sceaux,quatrième circonscription de la Seine-Saint-Denis,1300,http://www.wikidata.org/entity/Q464029,https://fr.wikipedia.org/wiki/Marie-George%20Buffet
Valérie Boyer,féminin,Valérie,Boyer,1962-06-11T00:00:00Z,Bourges,première circonscription des Bouches-du-Rhône,17274,http://www.wikidata.org/entity/Q465989,https://fr.wikipedia.org/wiki/Val%C3%A9rie%20Boyer
Sylvia Pinel,féminin,Sylvia,Pinel,1977-09-28T00:00:00Z,L'Union,deuxième circonscription de Tarn-et-Garonne,17367,http://www.wikidata.org/entity/Q467943,https://fr.wikipedia.org/wiki/Sylvia%20Pinel
Marie-Arlette Carlotti,féminin,Marie-Arlette,Carlotti,1952-01-21T00:00:00Z,Béziers,cinquième circonscription des Bouches-du-Rhône,18380,http://www.wikidata.org/entity/Q467949,https://fr.wikipedia.org/wiki/Marie-Arlette%20Carlotti
